,max_depth,min_samples_split,auc_cv,auc_test,auc_cv_sc,auc_test_sc
61,32.0,3.0,0.9296953730782919,0.6990308065074421,0.9264975131914465,0.6781758393907926
62,32.0,5.0,0.9239865369470446,0.6990308065074421,0.9309967879571195,0.6781758393907926
63,32.0,7.0,0.927621463515542,0.701367255105573,0.9273012283783663,0.701367255105573
64,32.0,9.0,0.9253937277207281,0.6364659051574939,0.9285670208546607,0.6619937694704049
65,32.0,11.0,0.9270236521676811,0.6943579093111804,0.9249128008541557,0.6943579093111804
66,32.0,13.0,0.9247263085369161,0.6388023537556248,0.9265495419336922,0.6573208722741433
67,32.0,15.0,0.9290589341457911,0.6805122879889234,0.9250200182591282,0.7152128764278297
68,32.0,17.0,0.9249778968448845,0.673502942194531,0.9284687131223842,0.6526479750778815
69,32.0,19.0,0.9247006463991972,0.6990308065074421,0.9218281320879337,0.6805122879889234
70,37.0,1.0,0.9256544333765786,0.7152128764278297,0.9289256351806652,0.6920214607130496
71,37.0,3.0,0.9216913840858911,0.6990308065074421,0.9311702415303136,0.7105399792315681
72,37.0,5.0,0.9247691222017804,0.6781758393907926,0.9252817704350347,0.6781758393907926
73,37.0,7.0,0.9288578801331402,0.6781758393907926,0.926888809890877,0.7128764278296988
74,37.0,9.0,0.9308907025855154,0.6781758393907926,0.9276262033962629,0.6943579093111804
75,37.0,11.0,0.9238066169386399,0.6758393907926618,0.9240633930542016,0.7337313949463482
76,37.0,13.0,0.9237098973107285,0.7175493250259606,0.9255007659549517,0.7175493250259606
77,37.0,15.0,0.9207264600176401,0.6758393907926618,0.9262347389278587,0.6549844236760124
78,37.0,17.0,0.9242824944477428,0.6388023537556248,0.9239143881441088,0.6202838352371063
79,37.0,19.0,0.9275334499572025,0.6805122879889234,0.9251542171500613,0.6596573208722741
80,42.0,1.0,0.923746114234383,0.736067843544479,0.9301197064205837,0.6643302180685358
81,42.0,3.0,0.9254949062570498,0.7152128764278297,0.9283266429346865,0.7128764278296988
82,42.0,5.0,0.9275699926458552,0.7337313949463482,0.9309118773103864,0.7337313949463482
83,42.0,7.0,0.9287723993976605,0.701367255105573,0.9262170987532159,0.736067843544479
84,42.0,9.0,0.9200004275665601,0.6966943579093112,0.9239500919878914,0.6758393907926618
85,42.0,11.0,0.9274670346182321,0.7128764278296988,0.9263650937918151,0.673502942194531
86,42.0,13.0,0.9234139968189048,0.6966943579093112,0.9272783922520051,0.6411388023537556
87,42.0,15.0,0.9270157442223542,0.6805122879889234,0.922439373097838,0.6990308065074421
88,42.0,17.0,0.9275782752209297,0.6805122879889234,0.9244980612910556,0.6758393907926618
89,42.0,19.0,0.9224626245745711,0.6619937694704049,0.9274579213424123,0.6943579093111804
90,47.0,1.0,0.929497971705681,0.7522499134648668,0.9284255451880845,0.7475770162686051
91,47.0,3.0,0.9241930882440371,0.6828487365870544,0.9265492976099438,0.6758393907926618
92,47.0,5.0,0.9306377053439304,0.7522499134648668,0.9252112260247142,0.7152128764278297
93,47.0,7.0,0.928117693192896,0.7128764278296988,0.9267645794088832,0.6226202838352372
94,47.0,9.0,0.9208029496391745,0.7128764278296988,0.9237717926603517,0.7152128764278297
95,47.0,11.0,0.925915635824051,0.6966943579093112,0.9273148046346587,0.6781758393907926
96,47.0,13.0,0.9268159851255703,0.7128764278296988,0.9235964822266689,0.6364659051574939
97,47.0,15.0,0.9271339399077597,0.673502942194531,0.9252414000076555,0.6596573208722741
98,47.0,17.0,0.926852470805348,0.6966943579093112,0.9271953954746355,0.6781758393907926
99,47.0,19.0,0.9204107448698121,0.6966943579093112,0.9186103638876469,0.6573208722741433
