,max_depth,min_samples_split,auc_cv,auc_test,auc_cv_sc,auc_test_sc
55,27.0,11.0,0.9241545583888966,0.6758393907926618,0.9242416679493664,0.6781758393907926
56,27.0,13.0,0.9272683342576915,0.7152128764278297,0.9234864388103388,0.6619937694704049
57,27.0,15.0,0.9237663523848848,0.6573208722741433,0.9207247416072757,0.6966943579093112
58,27.0,17.0,0.9246596488741969,0.6805122879889234,0.9256198412058518,0.6388023537556248
59,27.0,19.0,0.9213773629160528,0.6805122879889234,0.9228834966637592,0.6596573208722741
60,32.0,1.0,0.9303278458219417,0.6920214607130496,0.9301832265231346,0.6943579093111804
61,32.0,3.0,0.9254133428456713,0.7337313949463482,0.9281360744829092,0.7313949463482173
62,32.0,5.0,0.933307194764305,0.6966943579093112,0.928307768925114,0.6711664935964001
63,32.0,7.0,0.925602534940332,0.6805122879889234,0.9264624160849726,0.7499134648667359
64,32.0,9.0,0.9313278303481043,0.6966943579093112,0.9275099460125957,0.6781758393907926
65,32.0,11.0,0.9251080155292174,0.6943579093111804,0.9271121462293923,0.6619937694704049
66,32.0,13.0,0.9254298957796332,0.7128764278296988,0.9254240727302936,0.7128764278296988
67,32.0,15.0,0.9206501984316044,0.6596573208722741,0.9242682585173295,0.6226202838352372
68,32.0,17.0,0.9249858210784614,0.6573208722741433,0.9258927426888153,0.6966943579093112
69,32.0,19.0,0.9257274983935714,0.6781758393907926,0.9250249943194728,0.6619937694704049
70,37.0,1.0,0.932122110566269,0.7128764278296988,0.9256698420609849,0.6966943579093112
71,37.0,3.0,0.9265096927303098,0.7128764278296988,0.9290968654077478,0.7707684319833853
72,37.0,5.0,0.9295896949129352,0.7499134648667359,0.928151703058689,0.7290584977500865
73,37.0,7.0,0.9280441110239689,0.7290584977500865,0.9249202527284854,0.6920214607130496
74,37.0,9.0,0.9285910948880142,0.7499134648667359,0.928400587517174,0.6619937694704049
75,37.0,11.0,0.9261316994589859,0.6434752509518865,0.9257058920300778,0.6573208722741433
76,37.0,13.0,0.9232610827288357,0.7337313949463482,0.9253010557229173,0.6549844236760124
77,37.0,15.0,0.9252471986246202,0.6619937694704049,0.9248824639887155,0.6388023537556248
78,37.0,17.0,0.9266934160450664,0.6202838352371063,0.9258752898290468,0.6596573208722741
79,37.0,19.0,0.9284022163421639,0.6781758393907926,0.9225707215450383,0.673502942194531
80,42.0,1.0,0.928038019218506,0.7313949463482173,0.9307624244734212,0.6966943579093112
81,42.0,3.0,0.9270150478996708,0.6643302180685358,0.9267775529999291,0.736067843544479
82,42.0,5.0,0.9263665149416189,0.6943579093111804,0.9271514742087777,0.7337313949463482
83,42.0,7.0,0.9226690048449399,0.7128764278296988,0.925189049572474,0.6943579093111804
84,42.0,9.0,0.9258559556764144,0.7290584977500865,0.9241874687978214,0.7128764278296988
85,42.0,11.0,0.9207515683548623,0.6966943579093112,0.9241859051258308,0.6805122879889234
86,42.0,13.0,0.9247075281847804,0.7128764278296988,0.9241893826671846,0.6758393907926618
87,42.0,15.0,0.9227596000908885,0.6920214607130496,0.9247557088279871,0.7152128764278297
88,42.0,17.0,0.9223290446371344,0.6758393907926618,0.9255724994075148,0.6758393907926618
89,42.0,19.0,0.9210809574884822,0.6619937694704049,0.9209222203490735,0.6990308065074421
90,47.0,1.0,0.9294270282332379,0.6758393907926618,0.9300621478174966,0.6966943579093112
91,47.0,3.0,0.9290940841890774,0.6943579093111804,0.9263454664506845,0.6966943579093112
92,47.0,5.0,0.9243855827813654,0.736067843544479,0.9254317119194969,0.6596573208722741
93,47.0,7.0,0.9251394192750263,0.736067843544479,0.926815048551201,0.6828487365870544
94,47.0,9.0,0.9270088542926462,0.7152128764278297,0.9223979602224649,0.6966943579093112
95,47.0,11.0,0.9269732563224877,0.6434752509518865,0.9260536950302105,0.6943579093111804
96,47.0,13.0,0.929813650204947,0.6596573208722741,0.9264844296547136,0.673502942194531
97,47.0,15.0,0.9272037350585848,0.6619937694704049,0.9238011196542981,0.6943579093111804
98,47.0,17.0,0.9228843273645042,0.6943579093111804,0.9228627698657604,0.6758393907926618
99,47.0,19.0,0.9289677118022215,0.6781758393907926,0.9202926143374063,0.6758393907926618
